VisitID,KundID,Datum,Tid,Ar,Vecka,Besokstyp,PassID
V0000001,K0426,2024-01-01,06:30,2024,1,GYM,
V0000002,K0059,2024-01-01,07:00,2024,1,PASS,P01
V0000003,K0010,2024-01-01,07:00,2024,1,PASS,P01
V0000004,K0794,2024-01-01,07:00,2024,1,PASS,P01
V0000005,K0258,2024-01-01,07:00,2024,1,PASS,P01
V0000006,K0245,2024-01-01,07:00,2024,1,PASS,P01
V0000007,K0233,2024-01-01,07:00,2024,1,PASS,P01
V0000008,K0132,2024-01-01,07:00,2024,1,PASS,P01
V0000009,K0608,2024-01-01,07:00,2024,1,PASS,P01
V0000010,K0111,2024-01-01,07:00,2024,1,PASS,P01
V0000011,K0567,2024-01-01,07:00,2024,1,PASS,P01
V0000012,K0857,2024-01-01,07:00,2024,1,PASS,P01
V0000013,K0109,2024-01-01,07:00,2024,1,PASS,P01
V0000014,K0633,2024-01-01,07:00,2024,1,PASS,P01
V0000015,K0049,2024-01-01,07:00,2024,1,PASS,P01
V0000016,K0047,2024-01-01,07:00,2024,1,PASS,P01
V0000017,K0118,2024-01-01,07:00,2024,1,PASS,P01
V0000018,K0310,2024-01-01,07:00,2024,1,PASS,P01
V0000019,K0263,2024-01-01,07:20,2024,1,GYM,
V0000020,K0916,2024-01-01,07:40,2024,1,GYM,
V0000021,K0684,2024-01-01,07:55,2024,1,GYM,
V0000022,K0392,2024-01-01,08:20,2024,1,GYM,
V0000023,K0260,2024-01-01,08:45,2024,1,GYM,
V0000024,K0282,2024-01-01,09:15,2024,1,GYM,
V0000025,K0415,2024-01-01,09:15,2024,1,GYM,
V0000026,K0313,2024-01-01,09:20,2024,1,GYM,
V0000027,K0784,2024-01-01,09:40,2024,1,GYM,
V0000028,K0691,2024-01-01,10:00,2024,1,PASS,P02
V0000029,K0213,2024-01-01,10:00,2024,1,PASS,P02
V0000030,K0709,2024-01-01,10:00,2024,1,PASS,P02
V0000031,K0584,2024-01-01,10:00,2024,1,PASS,P02
