VisitID,KundID,Datum,Tid,År,Vecka,Besökstyp,PassID
V0000001,K0059,2024-01-01,07:00,2024,1,PASS,P01
V0000002,K0010,2024-01-01,07:00,2024,1,PASS,P01
V0000003,K0794,2024-01-01,07:00,2024,1,PASS,P01
V0000004,K0258,2024-01-01,07:00,2024,1,PASS,P01
V0000005,K0245,2024-01-01,07:00,2024,1,PASS,P01
V0000006,K0233,2024-01-01,07:00,2024,1,PASS,P01
V0000007,K0132,2024-01-01,07:00,2024,1,PASS,P01
V0000008,K0608,2024-01-01,07:00,2024,1,PASS,P01
V0000009,K0111,2024-01-01,07:00,2024,1,PASS,P01
V0000010,K0567,2024-01-01,07:00,2024,1,PASS,P01
V0000011,K0857,2024-01-01,07:00,2024,1,PASS,P01
V0000012,K0109,2024-01-01,07:00,2024,1,PASS,P01
V0000013,K0633,2024-01-01,07:00,2024,1,PASS,P01
V0000014,K0049,2024-01-01,07:00,2024,1,PASS,P01
V0000015,K0047,2024-01-01,07:00,2024,1,PASS,P01
V0000016,K0118,2024-01-01,07:00,2024,1,PASS,P01
V0000017,K0310,2024-01-01,07:00,2024,1,PASS,P01
V0000018,K0598,2024-01-08,07:00,2024,2,PASS,P01
V0000019,K0666,2024-01-08,07:00,2024,2,PASS,P01
V0000020,K0010,2024-01-08,07:00,2024,2,PASS,P01
V0000021,K0449,2024-01-08,07:00,2024,2,PASS,P01
V0000022,K0212,2024-01-08,07:00,2024,2,PASS,P01
V0000023,K0581,2024-01-08,07:00,2024,2,PASS,P01
V0000024,K0857,2024-01-08,07:00,2024,2,PASS,P01
V0000025,K0626,2024-01-08,07:00,2024,2,PASS,P01
V0000026,K0319,2024-01-08,07:00,2024,2,PASS,P01
V0000027,K0667,2024-01-08,07:00,2024,2,PASS,P01
V0000028,K0934,2024-01-08,07:00,2024,2,PASS,P01
V0000029,K0419,2024-01-08,07:00,2024,2,PASS,P01
V0000030,K0011,2024-01-08,07:00,2024,2,PASS,P01
V0000031,K0851,2024-01-15,07:00,2024,3,PASS,P01
V0000032,K0110,2024-01-15,07:00,2024,3,PASS,P01
V0000033,K0574,2024-01-15,07:00,2024,3,PASS,P01
V0000034,K0321,2024-01-15,07:00,2024,3,PASS,P01
