VisitID,KundID,Datum,Tid,Ar,Vecka,Besokstyp,PassID,Medlemskap
V0000001,K0426,2024-01-01,06:30,2024,1,GYM,,Basic
V0000002,K0059,2024-01-01,07:00,2024,1,PASS,P01,Flex
V0000003,K0010,2024-01-01,07:00,2024,1,PASS,P01,Flex
V0000004,K0794,2024-01-01,07:00,2024,1,PASS,P01,Flex
V0000005,K0258,2024-01-01,07:00,2024,1,PASS,P01,Student
V0000006,K0245,2024-01-01,07:00,2024,1,PASS,P01,Student
V0000007,K0233,2024-01-01,07:00,2024,1,PASS,P01,Student
V0000008,K0132,2024-01-01,07:00,2024,1,PASS,P01,Student
V0000009,K0608,2024-01-01,07:00,2024,1,PASS,P01,Student
V0000010,K0111,2024-01-01,07:00,2024,1,PASS,P01,Student
V0000011,K0567,2024-01-01,07:00,2024,1,PASS,P01,Student
V0000012,K0857,2024-01-01,07:00,2024,1,PASS,P01,Premium
V0000013,K0109,2024-01-01,07:00,2024,1,PASS,P01,Premium
V0000014,K0633,2024-01-01,07:00,2024,1,PASS,P01,Premium
V0000015,K0049,2024-01-01,07:00,2024,1,PASS,P01,Premium
V0000016,K0047,2024-01-01,07:00,2024,1,PASS,P01,Premium
V0000017,K0118,2024-01-01,07:00,2024,1,PASS,P01,Premium
V0000018,K0310,2024-01-01,07:00,2024,1,PASS,P01,Premium
V0000019,K0263,2024-01-01,07:20,2024,1,GYM,,Morning
V0000020,K0916,2024-01-01,07:40,2024,1,GYM,,Morning
V0000021,K0684,2024-01-01,07:55,2024,1,GYM,,Morning
V0000022,K0392,2024-01-01,08:20,2024,1,GYM,,Basic
V0000023,K0260,2024-01-01,08:45,2024,1,GYM,,Morning
V0000024,K0282,2024-01-01,09:15,2024,1,GYM,,Basic
V0000025,K0415,2024-01-01,09:15,2024,1,GYM,,Morning
V0000026,K0313,2024-01-01,09:20,2024,1,GYM,,Morning
V0000027,K0784,2024-01-01,09:40,2024,1,GYM,,Premium
V0000028,K0691,2024-01-01,10:00,2024,1,PASS,P02,Flex
V0000029,K0213,2024-01-01,10:00,2024,1,PASS,P02,Flex
V0000030,K0709,2024-01-01,10:00,2024,1,PASS,P02,Senior
V0000031,K0584,2024-01-01,10:00,2024,1,PASS,P02,Senior
V0000032,K0638,2024-01-01,10:00,2024,1,PASS,P02,Senior
V0000033,K0905,2024-01-01,10:00,2024,1,PASS,P02,Senior
V0000034,K0460,2024-01-01,10:00,2024,1,PASS,P02,Senior
V0000035,K0789,2024-01-01,10:00,2024,1,PASS,P02,Senior
V0000036,K0631,2024-01-01,10:00,2024,1,PASS,P02,Senior
V0000037,K0867,2024-01-01,10:00,2024,1,PASS,P02,Senior
V0000038,K0787,2024-01-01,10:00,2024,1,PASS,P02,Senior
V0000039,K0078,2024-01-01,10:00,2024,1,PASS,P02,Senior
V0000040,K0157,2024-01-01,10:00,2024,1,PASS,P02,Senior
V0000041,K0301,2024-01-01,10:00,2024,1,PASS,P02,Senior
V0000042,K0766,2024-01-01,10:00,2024,1,PASS,P02,Senior
V0000043,K0401,2024-01-01,10:00,2024,1,PASS,P02,Senior
V0000044,K0146,2024-01-01,10:00,2024,1,PASS,P02,Senior
V0000045,K0219,2024-01-01,10:00,2024,1,PASS,P02,Premium
V0000046,K0086,2024-01-01,10:00,2024,1,GYM,,Premium
V0000047,K0589,2024-01-01,10:10,2024,1,GYM,,Morning
V0000048,K0697,2024-01-01,10:35,2024,1,GYM,,Morning
V0000049,K0099,2024-01-01,10:55,2024,1,GYM,,Basic
V0000050,K0766,2024-01-01,10:55,2024,1,GYM,,Senior
V0000051,K0758,2024-01-01,11:00,2024,1,GYM,,Morning
V0000052,K0462,2024-01-01,11:15,2024,1,GYM,,Flex
V0000053,K0162,2024-01-01,11:20,2024,1,GYM,,Student
V0000054,K0005,2024-01-01,11:55,2024,1,GYM,,Basic
V0000055,K0710,2024-01-01,12:05,2024,1,GYM,,Flex
V0000056,K0062,2024-01-01,12:15,2024,1,GYM,,Student
V0000057,K0851,2024-01-01,13:35,2024,1,GYM,,Flex
V0000058,K0308,2024-01-01,14:05,2024,1,GYM,,Premium
V0000059,K0351,2024-01-01,14:40,2024,1,GYM,,Basic
V0000060,K0860,2024-01-01,14:55,2024,1,GYM,,Premium
V0000061,K0484,2024-01-01,15:25,2024,1,GYM,,Premium
V0000062,K0567,2024-01-01,15:45,2024,1,GYM,,Student
V0000063,K0884,2024-01-01,15:50,2024,1,GYM,,Basic
V0000064,K0372,2024-01-01,16:40,2024,1,GYM,,Basic
V0000065,K0543,2024-01-01,16:45,2024,1,GYM,,Student
V0000066,K0657,2024-01-01,17:20,2024,1,GYM,,Basic
V0000067,K0106,2024-01-01,17:30,2024,1,PASS,P03,Premium
V0000068,K0765,2024-01-01,17:30,2024,1,PASS,P03,Premium
V0000069,K0240,2024-01-01,17:30,2024,1,PASS,P03,Premium
V0000070,K0058,2024-01-01,17:30,2024,1,PASS,P03,Premium
V0000071,K0364,2024-01-01,17:30,2024,1,PASS,P03,Premium
V0000072,K0664,2024-01-01,17:30,2024,1,PASS,P03,Premium
V0000073,K0820,2024-01-01,17:30,2024,1,PASS,P03,Premium
V0000074,K0816,2024-01-01,17:30,2024,1,PASS,P03,Premium
V0000075,K0219,2024-01-01,17:30,2024,1,PASS,P03,Premium
V0000076,K0517,2024-01-01,17:30,2024,1,PASS,P03,Premium
V0000077,K0528,2024-01-01,17:30,2024,1,PASS,P03,Premium
V0000078,K0424,2024-01-01,17:30,2024,1,PASS,P03,Premium
V0000079,K0563,2024-01-01,17:30,2024,1,PASS,P03,Premium
V0000080,K0611,2024-01-01,17:30,2024,1,PASS,P03,Premium
